Ranking,Squad,MP,Wins,HomeWin,AwayWin,Draws,HomeDraw,AwayDraw,Losses,HomeLoss,AwayLoss,GF,GA,GD,Pts,Pts/MP,CS,CS (%),PKagainst,PKconceded,Pksaved,Pkmissed,Save%,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Pkatt,PKscored,CmpPass,AtmPass,CmpPass%,Atk3rd_Pass,PenBox_pass,Poss%,Touches,T_DefPen,T_Def3rd,T_Mid3rd,T_Atk3rd,T_AtkPen,Tkl,TklW,TklW%,Tkl_Def3rd,Tkl_Mid3rd,Tkl_Att3rd,Press,Succ,Press%,Def3rd_Press,Mid3rd_Press,Att3rd_Press,Ycard,Rcard,Fouls_committed,Fouls_drawn,Offside,ADWon,ADLost,Won%
5,Arsenal,38,22,13,9,3,2,1,13,4,9,61,48,13,69,1.82,13,34.2,6,5,0,1,0,60,580,185,31.9,15.26,4.87,0.09,0.3,8,5,16110,19512,82.6,1161,348,53.2,23735,2447,7398,11003,6845,1093,573,350,61.1%,262,211,100,4772,1440,30.2,1398,1910,1464,67,4,425,436,66,553,662,45.5
14,Aston Villa,38,13,6,7,6,5,1,19,8,11,52,54,-2,45,1.18,11,28.9,6,4,1,1,20,50,461,159,34.5,12.13,4.18,0.1,0.3,3,3,12521,16026,78.1,934,305,46.5,20467,2535,7122,9022,5495,897,686,398,58.0%,347,258,81,5515,1524,27.6,1886,2402,1227,81,2,494,594,52,599,639,48.4
13,Brentford,38,13,7,6,7,3,4,18,9,9,48,56,-8,46,1.21,9,23.7,5,5,0,0,0,46,441,139,31.5,11.61,3.66,0.09,0.29,6,6,11551,15894,72.7,877,270,44.5,20329,2996,7962,8533,4823,879,693,398,57.4%,339,254,100,5566,1609,28.9,1992,2351,1223,65,3,447,430,66,830,824,50.2
9,Brighton,38,12,5,7,15,7,8,11,7,4,42,44,-2,51,1.34,11,28.9,4,3,0,1,0,40,483,140,29,12.71,3.68,0.07,0.26,7,4,16341,20299,80.5,1120,347,54.7,24835,2858,8672,10453,7190,1008,721,451,62.6%,323,279,119,5670,1832,32.3,1794,2281,1595,72,2,468,445,53,650,629,50.8
18,Burnley,38,7,5,2,14,6,8,17,8,9,34,53,-19,35,0.92,9,23.7,5,5,0,0,0,32,406,117,28.8,10.68,3.08,0.08,0.26,2,1,9508,13895,68.4,801,251,39.8,18348,2462,6067,8207,4967,730,629,361,57.4%,299,250,80,5527,1499,27.1,1770,2362,1395,68,2,473,398,101,984,912,51.9
3,Chelsea,38,21,9,12,11,7,4,6,3,3,76,33,43,74,1.95,16,42.1,6,6,0,0,0,75,585,199,34,15.39,5.24,0.11,0.34,9,8,20878,24294,85.9,1561,446,62.3,28776,2413,8262,14029,8298,1188,660,401,60.8%,272,283,105,5533,1702,30.8,1643,2365,1525,63,1,485,504,69,623,547,53.2
12,Crystal Palace,38,11,7,4,15,8,7,12,4,8,50,46,4,48,1.26,12,31.6,4,3,1,0,25,50,404,141,34.9,10.63,3.71,0.11,0.31,8,6,14785,18647,79.3,932,279,50.9,23395,2975,8871,10590,5297,854,690,410,59.4%,341,261,88,6041,1809,29.9,2086,2640,1315,69,1,501,566,64,754,687,52.3
16,Everton,38,11,9,2,6,2,4,21,8,13,43,66,-23,39,1.03,8,21.1,2,2,0,0,0,42,431,127,29.5,11.34,3.34,0.08,0.28,7,6,10325,14297,72.2,843,266,39.7,19079,2490,6581,8188,5355,826,779,477,61.2%,405,275,99,6346,1892,29.8,2222,2712,1412,82,6,450,462,52,711,866,45.1
17,Leeds United,38,9,4,5,11,6,5,18,9,9,42,79,-37,38,1,5,13.2,5,5,0,0,0,42,485,142,29.3,12.76,3.74,0.08,0.26,5,5,13830,17836,77.5,969,302,52.5,22559,2898,8974,9751,5231,859,858,473,55.1%,435,321,102,7078,2118,29.9,2446,3081,1551,101,3,567,449,62,560,664,45.8
8,Leicester City,38,14,10,4,10,4,6,14,5,9,62,59,3,52,1.37,7,18.4,10,7,2,1,22.2,62,436,163,37.4,11.47,4.29,0.14,0.37,2,2,15911,19634,81,972,267,52.1,24202,2905,8878,11385,5256,818,751,440,58.6%,359,298,94,5982,1719,28.7,2049,2652,1281,55,1,456,491,60,625,611,50.6
